status	severity	file	line	text
OK_I18N	P0_CHAT_ACTIONBAR	src/main/java/plugin/CheckTreasureEmeraldCommand.java	23	sender.sendMessage(ChatColor.RED + i18n.trDefault(
OK_I18N	P0_CHAT_ACTIONBAR	src/main/java/plugin/CheckTreasureEmeraldCommand.java	32	player.sendMessage(ChatColor.AQUA + i18n.tr(
OK_ALLOWED_DYNAMIC	P0_CHAT_ACTIONBAR	src/main/java/plugin/ChestProximitySoundService.java	101	"player.spigot().sendMessage(ChatMessageType.ACTION_BAR, new TextComponent(""""));"
OK_I18N	P0_CHAT_ACTIONBAR	src/main/java/plugin/ChestProximitySoundService.java	115	"player.sendMessage(""§b"" + trChest(player, ""finalAudit.debug.chestSoundStart""));"
OK_ALLOWED_DYNAMIC	P0_CHAT_ACTIONBAR	src/main/java/plugin/ChestProximitySoundService.java	162	player.spigot().sendMessage(ChatMessageType.ACTION_BAR,
OK_ALLOWED_DYNAMIC	P0_CHAT_ACTIONBAR	src/main/java/plugin/ChestProximitySoundService.java	202	player.spigot().sendMessage(ChatMessageType.ACTION_BAR, new TextComponent(msg));
OK_I18N	P0_CHAT_ACTIONBAR	src/main/java/plugin/ChestProximitySoundService.java	208	"player.sendMessage(""§b"" + trChest(player, ""finalAudit.debug.chestSoundNearest"").replace(""{distance}"", String.format(""%.1f"", dist)).replace(""{range}"", String.valueOf(inRange)).replace(""{t}"", String.format(""%.2f"", t)));"
OK_ALLOWED_DYNAMIC	P0_CHAT_ACTIONBAR	src/main/java/plugin/ChestProximitySoundService.java	435	"player.spigot().sendMessage(ChatMessageType.ACTION_BAR, new TextComponent(""""));"
OK_I18N	P0_CHAT_ACTIONBAR	src/main/java/plugin/CraftSpecialEmeraldCommand.java	24	sender.sendMessage(ChatColor.RED + i18n.trDefault(
OK_I18N	P0_CHAT_ACTIONBAR	src/main/java/plugin/CraftSpecialEmeraldCommand.java	35	player.sendMessage(i18n.tr(
OK_I18N	P0_CHAT_ACTIONBAR	src/main/java/plugin/CraftSpecialEmeraldCommand.java	48	player.sendMessage(i18n.tr(
OK_I18N	P0_GUI_ITEM_BOOK	src/main/java/plugin/CustomRecipeLoader.java	60	"meta.setDisplayName(ChatColor.YELLOW + trDefault(""finalAudit.item.specialApple""));"
OK_I18N	P0_GUI_ITEM_BOOK	src/main/java/plugin/CustomRecipeLoader.java	80	"meta.setDisplayName(ChatColor.GRAY + trDefault(""finalAudit.item.specialIronBlock""));"
OK_I18N	P0_CHAT_ACTIONBAR	src/main/java/plugin/GameMenu.java	63	player.sendMessage(ChatColor.GOLD + GameMenuFallbackTexts.BRAND_TITLE);
OK_I18N	P0_CHAT_ACTIONBAR	src/main/java/plugin/GameMenu.java	64	player.sendMessage(ChatColor.RED + GameMenuFallbackTexts.pluginNotReady(player));
OK_I18N	P0_CHAT_ACTIONBAR	src/main/java/plugin/GameMenu.java	93	player.sendMessage(colorize(raw));
OK_I18N	P0_CHAT_ACTIONBAR	src/main/java/plugin/GameMenu.java	141	player.sendMessage(colorize(raw));
OK_I18N	P0_CHAT_ACTIONBAR	src/main/java/plugin/GameMenu.java	242	player.sendMessage(colorize(plugin.getI18n().tr(actualLang, GameMenuKeys.UI_MENU_BOOK_OPEN_FAILED)));
OK_ALLOWED_DYNAMIC	P1_WORLD_TITLE_BOSSBAR	src/main/java/plugin/GameMenu.java	246	meta.setTitle(title);
OK_ALLOWED_DYNAMIC	P2_BOOK_PAGE	src/main/java/plugin/GameMenu.java	248	meta.setPages(replaced);
OK_ALLOWED_DYNAMIC	P0_GUI_ITEM_BOOK	src/main/java/plugin/GameMenu.java	254	displayMeta.setDisplayName(displayName);
OK_I18N	P0_CHAT_ACTIONBAR	src/main/java/plugin/GameMenu.java	301	player.sendMessage(colorize(plugin.getI18n().tr(actualLang, GameMenuKeys.UI_MENU_BOOK_HOTBAR_GIVEN)));
OK_I18N	P0_CHAT_ACTIONBAR	src/main/java/plugin/GameMenu.java	302	player.sendMessage(colorize(plugin.getI18n().tr(actualLang, GameMenuKeys.UI_MENU_BOOK_HOTBAR_HINT)));
OK_I18N	P0_CHAT_ACTIONBAR	src/main/java/plugin/GameMenu.java	306	player.sendMessage(colorize(plugin.getI18n().tr(
OK_COMMENT	P1_WORLD_TITLE_BOSSBAR	src/main/java/plugin/GameOutcome.java	43	// player.resetTitle();
OK_COMMENT	P0_CHAT_ACTIONBAR	src/main/java/plugin/GameOutcome.java	44	"// player.spigot().sendMessage(ChatMessageType.ACTION_BAR, new TextComponent(""""));"
OK_I18N	P1_WORLD_TITLE_BOSSBAR	src/main/java/plugin/GameStageManager.java	995	"t.setCustomName(ChatColor.GOLD + """" + ChatColor.BOLD + trStage(""finalAudit.shop.treasureShop""));"
OK_NO_STRING_LITERAL_OR_DYNAMIC	P1_WORLD_TITLE_BOSSBAR	src/main/java/plugin/GameStageManager.java	1292	player.sendTitle(
OK_NO_STRING_LITERAL_OR_DYNAMIC	P0_CHAT_ACTIONBAR	src/main/java/plugin/GameStageManager.java	1299	player.sendMessage(
OK_I18N	P0_CHAT_ACTIONBAR	src/main/java/plugin/LangCommand.java	23	"sender.sendMessage(ChatColor.RED + trDefault(""command.lang.playersOnly"", ""Only players can run this command.""));"
