status	severity	file	line	text
OK_I18N	P0_CHAT_ACTIONBAR	src/main/java/plugin/CheckTreasureEmeraldCommand.java	23	"sender.sendMessage(ChatColor.RED + i18n.trDefault( ""command.checkTreasureEmerald.playersOnly"" )); return true; }"
OK_I18N	P0_CHAT_ACTIONBAR	src/main/java/plugin/CheckTreasureEmeraldCommand.java	32	"player.sendMessage(ChatColor.AQUA + i18n.tr( player, result ? ""command.checkTreasureEmerald.resultTrue"" : ""command.checkTreasureEmerald.resultFalse"""
OK_ALLOWED_DYNAMIC	P0_CHAT_ACTIONBAR	src/main/java/plugin/ChestProximitySoundService.java	101	"player.spigot().sendMessage(ChatMessageType.ACTION_BAR, new TextComponent(""""));"
OK_I18N	P0_CHAT_ACTIONBAR	src/main/java/plugin/ChestProximitySoundService.java	115	"player.sendMessage(""§b"" + trChest(player, ""finalAudit.debug.chestSoundStart""));"
OK_I18N	P0_CHAT_ACTIONBAR	src/main/java/plugin/ChestProximitySoundService.java	162	"player.spigot().sendMessage(ChatMessageType.ACTION_BAR, new TextComponent(""§7"" + trChest(player, ""finalAudit.debug.chestSoundNoChests""))); } return; }"
OK_ALLOWED_DYNAMIC	P0_CHAT_ACTIONBAR	src/main/java/plugin/ChestProximitySoundService.java	202	player.spigot().sendMessage(ChatMessageType.ACTION_BAR, new TextComponent(msg));
OK_I18N	P0_CHAT_ACTIONBAR	src/main/java/plugin/ChestProximitySoundService.java	208	"player.sendMessage(""§b"" + trChest(player, ""finalAudit.debug.chestSoundNearest"").replace(""{distance}"", String.format(""%.1f"", dist)).replace(""{range}"", String.valueOf(inRange)).replace(""{t}"", String.format(""%.2f"", t)));"
OK_ALLOWED_DYNAMIC	P0_CHAT_ACTIONBAR	src/main/java/plugin/ChestProximitySoundService.java	435	"player.spigot().sendMessage(ChatMessageType.ACTION_BAR, new TextComponent(""""));"
OK_I18N	P0_CHAT_ACTIONBAR	src/main/java/plugin/CraftSpecialEmeraldCommand.java	24	"sender.sendMessage(ChatColor.RED + i18n.trDefault( ""command.craftSpecialEmerald.playersOnly"", ""Only players can use this command."" )); return true;"
OK_I18N	P0_CHAT_ACTIONBAR	src/main/java/plugin/CraftSpecialEmeraldCommand.java	35	"player.sendMessage(i18n.tr( player, ""command.craftSpecialEmerald.needDiamonds"", ""&cYou need 3 diamonds to craft a Special Emerald."" ));"
