lang	pool	index	translation
es	outcome.success.easy.pool	1	"Llegaste.
La verdad permanece."
es	outcome.success.easy.pool	2	"Aunque solo fuera un pequeño paso,
mantuviste tu lugar."
es	outcome.success.easy.pool	3	"Escuchaste.
Y el camino se abrió."
es	outcome.success.easy.pool	4	"> Has llegado hasta aquí.
>
> Las reglas eran sencillas —
>
> la elección era tuya."
es	outcome.success.easy.pool	5	"> La distancia cobró sentido.
>
> Y el tiempo respondió a tus pasos."
es	outcome.success.easy.pool	6	"> No toda luz brilla para siempre.
>
> Pero este instante sí brilló."
es	outcome.success.easy.pool	7	"La luz cayó con calma,
y todas las sombras se retiraron."
es	outcome.success.easy.pool	8	"El viento guardó silencio.
Todo volvió a su lugar."
es	outcome.success.easy.pool	9	"Un instante de silencio.
El mundo volvió a respirar con calma."
es	outcome.success.easy.pool	10	"La huella quedó grabada en la arena —
allí donde el viento ya no alcanza."
es	outcome.success.easy.pool	11	"La armonía fue restaurada.
Todo había conducido a este momento."
es	outcome.success.easy.pool	12	"El tiempo pasó en silencio,
guardado en un rincón de la memoria."
es	outcome.success.easy.pool	13	"El cielo cambió de color,
y una historia llegó a su fin."
es	outcome.success.easy.pool	14	"Las olas se aquietaron,
y el mar volvió a ocultar su profundidad."
es	outcome.success.easy.pool	15	"Los pasos se detuvieron,
y solo quedó el lugar."
es	outcome.success.easy.pool	16	"Victoria y derrota —
al final, no son más que granos de arena."
es	outcome.success.easy.pool	17	"El camino continúa — o termina aquí.
De cualquier modo, descansa sobre la misma tierra."
es	outcome.success.normal.pool	1	"La distancia encontró por fin su sentido.
El tiempo respondió a tu viaje."
es	outcome.success.normal.pool	2	"El tiempo se agotó.
Pero no todo ha terminado."
es	outcome.success.normal.pool	3	"El eje fue encontrado.
El mundo contuvo su movimiento."
es	outcome.success.normal.pool	4	"El cristal contuvo la respiración,
y tú mantuviste tu lugar."
es	outcome.success.normal.pool	5	"Bajo la quietud del cielo,
tu ánimo no vaciló."
es	outcome.success.normal.pool	6	"Pocas cosas brillan para siempre.
Pero este instante fue luminoso."
es	outcome.success.normal.pool	7	"Cruzaste una tierra frágil,
sin perder de vista el horizonte."
es	outcome.success.normal.pool	8	"El instante pasó.
Lo que permanece, permanece."
es	outcome.success.normal.pool	9	"La suerte se marchita pronto.
El orden permanece."
es	outcome.success.normal.pool	10	"El cielo no conoce pausa en su círculo infinito,
y tú tampoco te detuviste."
es	outcome.success.normal.pool	11	"Alcanzaste el centro.
El mundo quedó inmóvil."
es	outcome.success.normal.pool	12	"Al fin estás aquí.
La verdad sigue firme."
es	outcome.success.normal.pool	13	"Llegaste hasta el final.
Recuerda: este camino lo elegiste tú, y nadie más."
es	outcome.success.normal.pool	14	"El tiempo se deslizó hacia el silencio,
y halló su lugar en lo profundo de la memoria."
es	outcome.success.normal.pool	15	"Mientras el cielo cambiaba de color,
la historia encontró su desenlace."
es	outcome.success.normal.pool	16	"Las aguas se calmaron,
y el cielo volvió a cubrir su abismo."
es	outcome.success.normal.pool	17	"Los pasos callaron,
y solo quedó el lugar."
es	outcome.success.normal.pool	18	"La luz cayó con calma,
y todas las sombras se retiraron."
es	outcome.success.normal.pool	19	"El viento guardó silencio.
Todo volvió a su lugar."
es	outcome.success.normal.pool	20	"Un instante de silencio.
El mundo volvió a respirar con calma."
es	outcome.success.normal.pool	21	"La huella quedó grabada en la arena —
allí donde el viento ya no alcanza."
es	outcome.success.normal.pool	22	"La armonía fue restaurada.
Todo había conducido a este momento."
es	outcome.success.normal.pool	23	"Carrera completada.
Claro. Encontrado.
Eso basta."
es	outcome.success.normal.pool	24	"Carrera completada.
El camino resistió.
Tú también."
es	outcome.success.normal.pool	25	"El cielo siguió moviéndose.
Tú también puedes."
es	outcome.success.normal.pool	26	"Carrera completada.
Un resultado silencioso.
El peso del trabajo real."
es	outcome.success.normal.pool	27	"Solo caminaste el sendero
que el mundo había tendido ante ti."
es	outcome.success.normal.pool	28	"La tierra no cedió.
Confió en tus pasos."
es	outcome.success.normal.pool	29	"Este instante se alineó
con el antiguo ritmo de las estrellas."
es	outcome.success.normal.pool	30	"No tomaste nada.
Comprendiste algo."
