lang	pool	index	translation
fi	outcome.success.easy.pool	1	"Pääsit perille.
Totuus jää."
fi	outcome.success.easy.pool	2	"Vaikka se oli vain pieni askel,
pysyit silti paikallasi."
fi	outcome.success.easy.pool	3	"Kuuntelit.
Ja tie avautui."
fi	outcome.success.easy.pool	4	"> Pääsit tänne asti.
>
> Säännöt olivat yksinkertaiset —
>
> valinta oli sinun."
fi	outcome.success.easy.pool	5	"> Etäisyys sai merkityksen.
>
> Ja aika vastasi askeliisi."
fi	outcome.success.easy.pool	6	"> Kaikki valo ei loista ikuisesti.
>
> Mutta tämä hetki loisti."
fi	outcome.success.easy.pool	7	"Valo laskeutui hiljaa,
ja kaikki varjot väistyivät."
fi	outcome.success.easy.pool	8	"Tuuli vaikeni.
Kaikki palasi omalle paikalleen."
fi	outcome.success.easy.pool	9	"Hiljainen hetki.
Maailma löysi jälleen hengityksensä."
fi	outcome.success.easy.pool	10	"Jälki painui syvälle hiekkaan —
sinne, minne tuuli ei enää yllä."
fi	outcome.success.easy.pool	11	"Tasapaino palautui.
Kaikki oli kulkenut kohti tätä hetkeä."
fi	outcome.success.easy.pool	12	"Aika lipui ohi hiljaa,
muiston nurkkaan talletettuna."
fi	outcome.success.easy.pool	13	"Taivas vaihtoi väriä,
ja yksi tarina tuli päätökseensä."
fi	outcome.success.easy.pool	14	"Aallot tyyntyivät,
ja meri kätki syvyytensä jälleen."
fi	outcome.success.easy.pool	15	"Askeleet pysähtyivät,
ja vain paikka jäi jäljelle."
fi	outcome.success.easy.pool	16	"Voitto ja tappio —
lopulta ne ovat vain hiekanjyviä."
fi	outcome.success.easy.pool	17	"Tie jatkuu — tai päättyy tähän.
Kummallakin tavalla se lepää samalla maalla."
fi	outcome.success.normal.pool	1	"Etäisyys löysi viimein merkityksensä.
Aika vastasi matkaasi."
fi	outcome.success.normal.pool	2	"Aika päättyi.
Mutta kaikki ei päättynyt."
fi	outcome.success.normal.pool	3	"Akseli löytyi.
Maailma pidätti liikkeensä."
fi	outcome.success.normal.pool	4	"Lasi pidätti hengitystään,
ja sinä pidit paikkasi."
fi	outcome.success.normal.pool	5	"Liikkumattoman taivaan alla
mielesi ei horjunut."
fi	outcome.success.normal.pool	6	"Harva asia loistaa ikuisesti.
Mutta tämä hetki oli kirkas."
fi	outcome.success.normal.pool	7	"Kuljit hauraan maan yli
katsettasi kadottamatta."
fi	outcome.success.normal.pool	8	"Hetki meni ohi.
Se mikä jäi, pysyy."
fi	outcome.success.normal.pool	9	"Onni kuihtuu nopeasti.
Järjestys pysyy."
fi	outcome.success.normal.pool	10	"Taivas ei tunne taukoa loputtomassa kehässään,
etkä sinäkään pysähtynyt."
fi	outcome.success.normal.pool	11	"Saavutit keskuksen.
Maailma pysähtyi."
fi	outcome.success.normal.pool	12	"Viimein olet tässä.
Totuus pysyy lujana."
fi	outcome.success.normal.pool	13	"Kuljit loppuun asti.
Muista: tämän tien valitsit sinä, ei kukaan muu."
fi	outcome.success.normal.pool	14	"Aika valui hiljaisuuteen
ja löysi paikkansa muistin syvyydestä."
fi	outcome.success.normal.pool	15	"Kun taivas vaihtoi väriään,
tarina löysi päätöksensä."
fi	outcome.success.normal.pool	16	"Vedet tyyntyivät,
ja taivas peitti syvyytensä jälleen."
fi	outcome.success.normal.pool	17	"Askeleet vaikenivat,
ja vain paikka jäi jäljelle."
fi	outcome.success.normal.pool	18	"Valo laskeutui hiljaa,
ja kaikki varjot väistyivät."
fi	outcome.success.normal.pool	19	"Tuuli vaikeni.
Kaikki palasi omalle paikalleen."
fi	outcome.success.normal.pool	20	"Hiljainen hetki.
Maailma löysi jälleen hengityksensä."
fi	outcome.success.normal.pool	21	"Jälki painui syvälle hiekkaan —
sinne, minne tuuli ei enää yllä."
fi	outcome.success.normal.pool	22	"Tasapaino palautui.
Kaikki oli kulkenut kohti tätä hetkeä."
fi	outcome.success.normal.pool	23	"Juoksu on suoritettu.
Selvä. Löydetty.
Se riittää."
fi	outcome.success.normal.pool	24	"Juoksu on suoritettu.
Tie kesti.
Niin kestit sinäkin."
fi	outcome.success.normal.pool	25	"Taivas jatkoi liikettään.
Niin voit sinäkin."
fi	outcome.success.normal.pool	26	"Juoksu on suoritettu.
Hiljainen tulos.
Todellisen työn paino."
fi	outcome.success.normal.pool	27	"Kuljit vain sitä polkua,
jonka maailma oli levittänyt eteesi."
fi	outcome.success.normal.pool	28	"Maa ei antanut periksi.
Se luotti askeliisi."
fi	outcome.success.normal.pool	29	"Tämä hetki asettui samaan tahtiin
tähtien ikivanhan rytmin kanssa."
fi	outcome.success.normal.pool	30	"Et ottanut mitään.
Ymmärsit jotakin."
fi	outcome.success.normal.pool	31	"Et voittanut mitään omaksesi.
Näit vain totuuden sellaisena kuin se oli."
fi	outcome.success.normal.pool	32	"Et vallannut tätä paikkaa.
Kuuluit tänne."
fi	outcome.success.normal.pool	33	"Kuljit tietä,
joka on muistoakin vanhempi."
fi	outcome.success.normal.pool	34	"Maa ei vastustanut.
Se tunnisti sinut."
fi	outcome.success.normal.pool	35	"Tämä hetki asettui samaan hiljaisuuteen
tähtien kanssa."
fi	outcome.success.hard.pool	1	"Pohjoistuulessa
kirkkaus kestää nopeutta kauemmin."
fi	outcome.success.hard.pool	2	"Keskus löytyi.
Maailma lepäsi."
fi	outcome.success.hard.pool	3	"Tähdet vaikenevat.
Jälkesi puhuu puolestasi."
fi	outcome.success.hard.pool	4	"Tulos pysyi.
Sijainti muuttui."
fi	outcome.success.hard.pool	5	"Jään ja lasin välissä
valitsit hallinnan."
fi	outcome.success.hard.pool	6	"Aallot vaikenivat,
ja meri otti takaisin kätketyt syvyytensä."
fi	outcome.success.hard.pool	7	"Joitakin aarteita odottaa vielä.
Ensi kerralla toinen polku."
fi	outcome.success.hard.pool	8	"Taivas ei muuttunut.
Sinä muutit."
fi	outcome.success.hard.pool	9	"Hetki meni ohi.
Jäljelle jäi järjestys."
fi	outcome.success.hard.pool	10	"Talvi on rehellinen.
Niin oli juoksusikin."
fi	outcome.success.hard.pool	11	"Tähdet asettuivat kohdalleen hetkeksi.
Sinä huomasit sen."
fi	outcome.success.hard.pool	12	"Etäisyys sulkeutui.
Aika ei."
fi	outcome.success.hard.pool	13	"Maailman säännöt pysyivät lujina.
Ja mahdollisuuden merkki oli todellinen."
fi	outcome.success.hard.pool	14	"Tie sulkeutui hiljaa.
Olit jo päässyt sen läpi."
fi	outcome.success.hard.pool	15	"Mikään ei muuttunut.
Vain paikkasi muuttui."
fi	outcome.success.hard.pool	16	"Et saanut kaikkea.
Mutta mikään ei mennyt hukkaan."
fi	outcome.success.hard.pool	17	"Hetki meni ohi.
Jälki jää."
fi	outcome.success.hard.pool	18	"Lopputulos ei muuttunut.
Silti kuljit eteenpäin."
fi	outcome.success.hard.pool	19	"Tulos ei muuttunut.
Mutta saavutit uuden tason."
fi	outcome.success.hard.pool	20	"Päätepiste oli sama.
Mutta sinne päässyt kulkija oli muuttunut."
fi	outcome.success.hard.pool	21	"Määränpää on sama —
mutta et ole enää se sama kulkija."
fi	outcome.success.hard.pool	22	"Valo laskeutui hiljaa,
ja kaikki varjot väistyivät."
fi	outcome.success.hard.pool	23	"Tuuli vaikeni.
Kaikki palasi omalle paikalleen."
fi	outcome.success.hard.pool	24	"Hiljainen hetki.
Maailma löysi jälleen hengityksensä."
