lang	pool	index	old	new
is	outcome.success.easy.pool	1	"Þú náðir alla leið.
Sannleikurinn stendur enn."	"Þú komst alla leið.
Sannleikurinn stendur eftir."
is	outcome.success.easy.pool	2	"Þótt skrefið væri lítið,
hélstu velli."	"Þótt skrefið væri lítið,
stóðstu föst."
is	outcome.success.easy.pool	3	"Þú hlustaðir.
Þá opnaðist leiðin."	"Þú hlustaðir.
Og þá opnaðist leiðin."
is	outcome.success.easy.pool	6	"> Ekki allt heldur áfram að skína.
>
> En þetta augnablik gerði það."	"> Ekki allt skín að eilífu.
>
> En þetta augnablik gerði það."
is	outcome.success.easy.pool	7	"Ljósið seig mjúklega niður,
og hver skuggi vék til hliðar."	"Ljósið féll mjúklega,
og hver skuggi vék undan."
is	outcome.success.easy.pool	8	"Þögn féll yfir vindinn.
Allt sneri aftur á sinn stað."	"Vindurinn þagnaði.
Allt sneri aftur á sinn stað."
is	outcome.success.easy.pool	9	"Andartak þagnar.
Heimurinn dró aftur andann."	"Andartak þagnar.
Heimurinn náði aftur andanum."
is	outcome.success.easy.pool	11	"Jafnvægið komst á ný.
Allt hafði stefnt að þessu augnabliki."	"Jafnvægið var endurheimt.
Allt hafði leitt að þessu augnabliki."
is	outcome.success.easy.pool	12	"Tíminn rann hljóðlega hjá,
geymdur í horni minningarinnar."	"Tíminn rann hljóðlega hjá,
geymdur í afkima minningarinnar."
is	outcome.success.easy.pool	13	"Himinninn skipti um lit,
og ein saga lauk."	"Himinninn tók nýjan lit,
og ein saga rann sitt skeið."
is	outcome.success.easy.pool	14	"Öldurnar lægðu,
og hafið faldi dýpi sitt á ný."	"Öldurnar lægðu,
og hafið huldi dýpi sitt á ný."
is	outcome.success.easy.pool	15	"Fótsporin stöðvuðust,
og aðeins staðurinn varð eftir."	"Fótsporin þögnuðu,
og staðurinn einn stóð eftir."
is	outcome.success.easy.pool	16	"Sigur og ósigur —
að lokum eru þau aðeins sandkorn."	"Sigur og ósigur —
að lokum eru þau aðeins korn í sandi."
is	outcome.success.easy.pool	17	"Leiðin heldur áfram — eða endar hér.
Í báðum tilvikum hvílir hún á sömu jörð."	"Leiðin heldur áfram — eða endar hér.
Hvort sem er, hvílir hún á sömu jörð."
is	outcome.success.normal.pool	1	"Fjarlægðin hefur loks fengið merkingu.
Tíminn svaraði ferð þinni."	"Fjarlægðin hefur loks öðlast merkingu.
Tíminn svaraði ferð þinni."
is	outcome.success.normal.pool	2	"Tíminn er úti.
En ekki lýkur öllu hér."	"Tíminn er úti.
En ekki endar allt hér."
is	outcome.success.normal.pool	3	"Öxullinn er fundinn.
Heimurinn hélt aftur af hreyfingu sinni."	"Öxullinn er fundinn.
Heimurinn hélt niðri hreyfingu sinni."
is	outcome.success.normal.pool	4	"Glerið hélt niðri í sér andanum,
og þú stóðst kyrr."	"Glerið hélt niðri í sér andanum,
og þú stóðst föst."
is	outcome.success.normal.pool	5	"Undir kyrrum himni
riðaðist hugur þinn ekki."	"Undir kyrrum himni
bilaði hugur þinn ekki."
is	outcome.success.normal.pool	7	"Þú fórst yfir brothætta jörð
án þess að missa sjónar á sjóndeildarhringnum."	"Þú fórst yfir brothætta jörð
án þess að missa sjóndeildarhringinn úr augsýn."
is	outcome.success.normal.pool	8	"Andartakið er liðið.
Það sem eftir stendur, stendur áfram."	"Andartakið er liðið.
Það sem stendur eftir, stendur áfram."
is	outcome.success.normal.pool	9	"Heppnin dofnar fljótt.
Reglan heldur velli."	"Heppnin dofnar fljótt.
Reglan stendur eftir."
