lang	pool	index	translation
ko	outcome.success.easy.pool	1	"해냈어.
진실은 그대로 남아 있어."
ko	outcome.success.easy.pool	2	"작은 한 걸음이었을 뿐이어도,
넌 끝까지 버텼어."
ko	outcome.success.easy.pool	3	"넌 들었고,
길은 열렸어."
ko	outcome.success.easy.pool	4	"> 여기까지 왔어.
> 
> 규칙은 단순했어 —
> 
> 선택은 너의 몫이었지."
ko	outcome.success.easy.pool	5	"> 거리는 의미가 되었고,
> 
> 시간은 네 발걸음에 답했어."
ko	outcome.success.easy.pool	6	"> 모든 빛이 영원히 빛나지는 않아.
> 
> 하지만 이 순간은 빛났어."
ko	outcome.success.easy.pool	7	"빛이 고르게 내려앉고,
모든 그림자가 사라졌어."
ko	outcome.success.easy.pool	8	"바람이 잠잠해졌고,
모든 것이 제자리로 돌아갔어."
ko	outcome.success.easy.pool	9	"짧은 침묵.
세상은 다시 숨을 골랐어."
ko	outcome.success.easy.pool	10	"기록은 모래 깊숙이 새겨졌어 —
바람이 닿지 못하는 곳에."
ko	outcome.success.easy.pool	11	"균형이 되돌아왔어.
모든 것은 이 순간을 향해 있었어."
ko	outcome.success.easy.pool	12	"시간은 조용히 흘러가,
기억의 구석에 머물렀어."
ko	outcome.success.easy.pool	13	"하늘은 색을 바꾸었고,
하나의 이야기는 끝에 닿았어."
ko	outcome.success.easy.pool	14	"파도는 잔잔해졌고,
바다는 다시 깊이를 숨겼어."
ko	outcome.success.easy.pool	15	"발걸음은 멈추고,
그 자리만 남았어."
ko	outcome.success.easy.pool	16	"승리와 패배는
모래알에 지나지 않아."
ko	outcome.success.easy.pool	17	"길은 이어지거나 — 끝나거나.
어느 쪽이든 같은 땅 위에 놓여 있어."
ko	outcome.success.normal.pool	1	"거리는 의미를 찾았고,
시간은 네 여정에 답했어."
ko	outcome.success.normal.pool	2	"시간은 끝났어.
하지만 모든 것이 끝난 건 아니야."
ko	outcome.success.normal.pool	3	"축은 발견되었고,
세상은 움직임을 멈췄어."
