lang	pool	index	translation
lzh	outcome.success.easy.pool	1	"汝至矣。
真猶在其所。"
lzh	outcome.success.easy.pool	2	"雖一小步，
汝亦不退。"
lzh	outcome.success.easy.pool	3	"汝既聞之，
道乃自開。"
lzh	outcome.success.easy.pool	4	"> 汝至此矣。
> 
> 法甚簡——
> 
> 擇在汝手。"
lzh	outcome.success.easy.pool	5	"> 遠近乃得其義。
> 
> 時亦應汝足音。"
lzh	outcome.success.easy.pool	6	"> 非凡光皆可久明。
> 
> 然此一刻，誠明矣。"
lzh	outcome.success.easy.pool	7	"光靜而下，
群影皆退。"
lzh	outcome.success.easy.pool	8	"風止。
萬物各歸其所。"
lzh	outcome.success.easy.pool	9	"片刻寂然。
天地復定其息。"
lzh	outcome.success.easy.pool	10	"跡深刻於沙——
在風所不能及之處。"
lzh	outcome.success.easy.pool	11	"衡復矣。
萬事若為此刻而來。"
lzh	outcome.success.easy.pool	12	"時靜流過，
藏於憶之隅。"
lzh	outcome.success.easy.pool	13	"天改其色，
一事亦至其終。"
lzh	outcome.success.easy.pool	14	"浪息，
海復藏其深。"
lzh	outcome.success.easy.pool	15	"足音止，
唯其地猶存。"
lzh	outcome.success.easy.pool	16	"勝負者，
終亦沙粒耳。"
lzh	outcome.success.easy.pool	17	"道或續，或止於此。
然皆在同一土上。"
lzh	outcome.success.normal.pool	1	"遠近終得其義。
時亦應汝之行。"
lzh	outcome.success.normal.pool	2	"時盡矣。
然事未盡。"
lzh	outcome.success.normal.pool	3	"軸已得。
天地亦止其運。"
lzh	outcome.success.normal.pool	4	"琉璃屏息，
汝守其位。"
lzh	outcome.success.normal.pool	5	"靜天之下，
汝心不搖。"
lzh	outcome.success.normal.pool	6	"能久明者寡。
然此刻明甚。"
lzh	outcome.success.normal.pool	7	"汝過脆地，
目不移。"
lzh	outcome.success.normal.pool	8	"此刻已過。
所存者猶存。"
lzh	outcome.success.normal.pool	9	"幸易褪。
序常留。"
lzh	outcome.success.normal.pool	10	"天循無窮之圓而不息，
汝亦未止。"
lzh	outcome.success.normal.pool	11	"汝至其中。
天地靜矣。"
