lang	pool	index	translation
lzh	outcome.success.easy.pool	1	"至矣。
真猶存焉。"
lzh	outcome.success.easy.pool	2	"雖止一步，
亦未退也。"
lzh	outcome.success.easy.pool	3	"既聞其聲，
道乃自啟。"
lzh	outcome.success.easy.pool	4	"> 至此矣。
> 
> 法簡而明——
> 
> 擇在爾手。"
lzh	outcome.success.easy.pool	5	"> 遠近得義。
> 
> 時亦應爾足音。"
lzh	outcome.success.easy.pool	6	"> 光非皆可久。
> 
> 然此刻，實明。"
lzh	outcome.success.easy.pool	7	"光靜下，
群影盡退。"
lzh	outcome.success.easy.pool	8	"風息。
萬物各返其所。"
lzh	outcome.success.easy.pool	9	"俄頃寂然。
天地復其息。"
lzh	outcome.success.easy.pool	10	"跡鐫沙中——
風亦不能及。"
lzh	outcome.success.easy.pool	11	"衡復。
萬事若歸此刻。"
lzh	outcome.success.easy.pool	12	"時默然而過，
藏諸記憶之隅。"
lzh	outcome.success.easy.pool	13	"天易其色，
一事遂終。"
lzh	outcome.success.easy.pool	14	"浪息，
海復藏其深。"
lzh	outcome.success.easy.pool	15	"足音既止，
唯地猶在。"
lzh	outcome.success.easy.pool	16	"勝負之事，
終同沙粒。"
lzh	outcome.success.easy.pool	17	"道或續，或止。
然皆載於一土。"
lzh	outcome.success.normal.pool	1	"遠近既得其義。
時亦應爾行。"
lzh	outcome.success.normal.pool	2	"時盡。
事猶未竟。"
lzh	outcome.success.normal.pool	3	"軸既得，
天地亦止其運。"
lzh	outcome.success.normal.pool	4	"琉璃屏息，
爾守其位。"
lzh	outcome.success.normal.pool	5	"靜天之下，
爾心不移。"
lzh	outcome.success.normal.pool	6	"久明者寡。
然此刻甚明。"
lzh	outcome.success.normal.pool	7	"爾履脆地，
目不旁移。"
lzh	outcome.success.normal.pool	8	"此刻已逝。
所存猶存。"
lzh	outcome.success.normal.pool	9	"幸易衰。
序獨存。"
lzh	outcome.success.normal.pool	10	"天循無窮之圓而不息，
爾亦未止。"
lzh	outcome.success.normal.pool	11	"爾至其中。
天地為之靜。"
lzh	outcome.success.normal.pool	12	"終至於此。
真猶堅。"
lzh	outcome.success.normal.pool	13	"爾行至終。
記之：擇此道者爾也，非他人也。"
lzh	outcome.success.normal.pool	14	"時入沉默，
於心深處安其所。"
lzh	outcome.success.normal.pool	15	"天變之際，
事亦歸終。"
lzh	outcome.success.normal.pool	16	"水既平，
天復掩其深。"
lzh	outcome.success.normal.pool	17	"足音既息，
唯地猶存。"
lzh	outcome.success.normal.pool	18	"光靜下，
群影盡退。"
lzh	outcome.success.normal.pool	19	"風息。
萬物各返其所。"
lzh	outcome.success.normal.pool	20	"俄頃寂然。
天地復其息。"
lzh	outcome.success.normal.pool	21	"跡鐫沙中——
風亦不能及。"
lzh	outcome.success.normal.pool	22	"衡復。
萬事若歸此刻。"
lzh	outcome.success.normal.pool	23	"賽既畢。
明矣。得矣。
足矣。"
lzh	outcome.success.normal.pool	24	"賽既畢。
道能承之，
爾亦承之。"
lzh	outcome.success.normal.pool	25	"天猶運行。
爾亦可然。"
lzh	outcome.success.normal.pool	26	"賽既畢。
靜然之果。
實功之重。"
lzh	outcome.success.normal.pool	27	爾但行天地置於前者。
lzh	outcome.success.normal.pool	28	"地不崩。
蓋信爾足也。"
lzh	outcome.success.normal.pool	29	此刻合星辰之古律。
lzh	outcome.success.normal.pool	30	"爾非有所取。
乃有所悟。"
lzh	outcome.success.normal.pool	31	"爾非有所勝。
但見真如真。"
lzh	outcome.success.normal.pool	32	"爾非據此地。
爾本屬焉。"
lzh	outcome.success.normal.pool	33	"爾行一道，
其古過於記憶。"
lzh	outcome.success.normal.pool	34	"地無拒意。
以其識爾也。"
lzh	outcome.success.normal.pool	35	此刻合星辰之靜。
lzh	outcome.success.hard.pool	1	"北風之中，
明辨久於疾。"
lzh	outcome.success.hard.pool	2	"非幸也。
向也。"
lzh	outcome.success.hard.pool	3	"世未改。
爾位已改。"
lzh	outcome.success.hard.pool	4	"其果猶存。
其位已移。"
lzh	outcome.success.hard.pool	5	"冰與琉璃之間，
爾擇其制。"
lzh	outcome.success.hard.pool	6	"浪既默，
海復收其幽深。"
lzh	outcome.success.hard.pool	7	"寶猶有待。
他日更由別徑。"
lzh	outcome.success.hard.pool	8	"天未變。
變者爾也。"
lzh	outcome.success.hard.pool	9	"一刻既逝。
所餘者，序也。"
lzh	outcome.success.hard.pool	10	"冬不欺人。
爾行亦然。"
lzh	outcome.success.hard.pool	11	"星辰一瞬得位。
爾見之矣。"
lzh	outcome.success.hard.pool	12	"遠近既合。
時猶未合。"
lzh	outcome.success.hard.pool	13	"世法不移。
爾亦立焉。"
lzh	outcome.success.hard.pool	14	"爾過寒光，
不失其準。"
lzh	outcome.success.hard.pool	15	"琉璃將裂而未裂。
爾亦未折。"
