lang	pool	index	status	en_reference	current_pt	native_pt_translation
pt	outcome.success.easy.pool	1	EXACT_EN	"You’ve made it.
The truth remains."	"You’ve made it.
The truth remains."	
pt	outcome.success.easy.pool	2	EXACT_EN	"Even if it was only a small step,
you held your ground."	"Even if it was only a small step,
you held your ground."	
pt	outcome.success.easy.pool	3	EXACT_EN	"You listened.
 The path opened."	"You listened.
 The path opened."	
pt	outcome.success.easy.pool	4	EXACT_EN	"> You made it here
> 
> The rules were simple —
> 
> the choice was yours."	"> You made it here
> 
> The rules were simple —
> 
> the choice was yours."	
pt	outcome.success.easy.pool	5	EXACT_EN	"> Distance became meaning.
> 
> and time answered your footsteps."	"> Distance became meaning.
> 
> and time answered your footsteps."	
pt	outcome.success.easy.pool	6	EXACT_EN	"> Not everything shines forever.
> 
> But this moment did."	"> Not everything shines forever.
> 
> But this moment did."	
pt	outcome.success.easy.pool	7	EXACT_EN	"Light fell evenly, ,
and every shadow vanished."	"Light fell evenly, ,
and every shadow vanished."	
pt	outcome.success.easy.pool	8	EXACT_EN	"The wind fell silent.
and everything returned to where it belonged."	"The wind fell silent.
and everything returned to where it belonged."	
pt	outcome.success.easy.pool	9	EXACT_EN	"A moment of silence.
The world steadied its breath."	"A moment of silence.
The world steadied its breath."	
pt	outcome.success.easy.pool	10	EXACT_EN	"The record is etched deep in the sand—
beyond the reach of the wind."	"The record is etched deep in the sand—
beyond the reach of the wind."	
pt	outcome.success.easy.pool	11	EXACT_EN	"Harmony was restored.
Everything had been for this moment."	"Harmony was restored.
Everything had been for this moment."	
pt	outcome.success.easy.pool	12	EXACT_EN	"Time slipped by in silence,
tucked away in the corners of memory."	"Time slipped by in silence,
tucked away in the corners of memory."	
pt	outcome.success.easy.pool	13	EXACT_EN	"The sky shifted in color,
and one story came to its end."	"The sky shifted in color,
and one story came to its end."	
pt	outcome.success.easy.pool	14	EXACT_EN	"The waves grew calm,
and the sea hid its depths once more."	"The waves grew calm,
and the sea hid its depths once more."	
pt	outcome.success.easy.pool	15	EXACT_EN	"The footsteps stopped,
and only the place remained."	"The footsteps stopped,
and only the place remained."	
pt	outcome.success.easy.pool	16	EXACT_EN	"Victory and defeat 
are nothing more than grains of sand."	"Victory and defeat 
are nothing more than grains of sand."	
pt	outcome.success.easy.pool	17	EXACT_EN	"The road goes on—or it ends.
Either way, it lies on the same earth."	"The road goes on—or it ends.
Either way, it lies on the same earth."	
pt	outcome.success.normal.pool	1	EXACT_EN	"The distance has found its meaning.
Time has rewarded your journey."	"The distance has found its meaning.
Time has rewarded your journey."	
pt	outcome.success.normal.pool	2	EXACT_EN	"The time is up.
but the rest is far from over."	"The time is up.
but the rest is far from over."	
pt	outcome.success.normal.pool	3	EXACT_EN	"The axis is found.
the world has cased its motion."	"The axis is found.
the world has cased its motion."	
pt	outcome.success.normal.pool	4	EXACT_EN	"The glass held its breath,
and you held your ground."	"The glass held its breath,
and you held your ground."	
pt	outcome.success.normal.pool	5	EXACT_EN	"Under the stillness of the sky,
your spirit did not waver."	"Under the stillness of the sky,
your spirit did not waver."	
pt	outcome.success.normal.pool	6	EXACT_EN	"Few things shine forever.
but this moment was radiant."	"Few things shine forever.
but this moment was radiant."	
pt	outcome.success.normal.pool	7	EXACT_EN	"You traversed the fragile earth,
without losing the view."	"You traversed the fragile earth,
without losing the view."	
pt	outcome.success.normal.pool	8	EXACT_EN	"The moment has passed.
The legacy remains."	"The moment has passed.
The legacy remains."	
pt	outcome.success.normal.pool	9	EXACT_EN	"Luck fades fast.
order endures."	"Luck fades fast.
order endures."	
